City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mundra,IN,2022-09-08 02:17:01,22.85,69.7333,80.82,75,6,10.71,clear sky
81,Havoysund,NO,2022-09-08 02:17:02,70.9963,24.6622,48.43,95,100,24.58,overcast clouds
82,Ubinskoye,RU,2022-09-08 02:17:03,55.3068,79.6802,48.67,68,9,19.84,clear sky
83,Rameswaram,IN,2022-09-08 02:17:04,9.2833,79.3,81.93,71,100,15.97,light rain
84,Pisco,PE,2022-09-08 02:07:47,-13.7,-76.2167,59.05,88,100,14.97,overcast clouds
85,Floro,NO,2022-09-08 02:17:05,61.5996,5.0328,57.16,82,100,10.36,overcast clouds
86,Victoria,HK,2022-09-08 02:04:29,22.2855,114.1577,89.96,73,18,5.01,few clouds
87,Shihezi,CN,2022-09-08 02:17:07,44.3,86.0333,87.8,16,0,4.41,clear sky
88,Dalvik,IS,2022-09-08 02:17:08,65.9702,-18.5286,37.33,82,62,4.41,broken clouds
89,Klaksvik,FO,2022-09-08 02:12:31,62.2266,-6.589,56.32,98,100,17.16,light rain
90,Matay,EG,2022-09-08 02:17:10,28.419,30.7792,75.97,71,0,10.65,clear sky
91,Te Anau,NZ,2022-09-08 02:10:59,-45.4167,167.7167,45.25,78,57,1.19,broken clouds
92,Upernavik,GL,2022-09-08 02:08:22,72.7868,-56.1549,38.12,75,95,5.01,overcast clouds
93,Bredasdorp,ZA,2022-09-08 02:17:13,-34.5322,20.0403,47.1,93,41,0.85,scattered clouds
94,Vila Velha,BR,2022-09-08 02:17:14,-20.3297,-40.2925,67.95,83,20,3.44,few clouds
95,Tveit,NO,2022-09-08 02:17:15,58.2337,8.122,62.62,81,100,8.05,overcast clouds
96,Chokurdakh,RU,2022-09-08 02:17:16,70.6333,147.9167,57.36,40,100,13.24,overcast clouds
97,West Fargo,US,2022-09-08 02:13:39,46.875,-96.9004,78.8,67,0,11.5,clear sky
98,Lebu,CL,2022-09-08 02:17:17,-37.6167,-73.65,44.15,71,22,6.98,few clouds
99,New Norfolk,AU,2022-09-08 02:17:18,-42.7826,147.0587,58.5,71,100,1.99,overcast clouds
100,Svetlogorsk,BY,2022-09-08 02:12:11,52.6333,29.7333,49.39,76,100,4.83,overcast clouds
101,Faanui,PF,2022-09-08 02:13:48,-16.4833,-151.75,77.67,77,11,19.62,few clouds
102,Nerchinskiy Zavod,RU,2022-09-08 02:17:21,51.3088,119.61,60.62,36,4,6.33,clear sky
103,Ambilobe,MG,2022-09-08 02:17:22,-13.2,49.05,64.33,76,24,3.8,few clouds
104,Saint-Philippe,RE,2022-09-08 02:17:23,-21.3585,55.7679,69.39,82,47,9.95,scattered clouds
105,Vostok,RU,2022-09-08 02:08:36,46.4856,135.8833,66.97,52,4,10.76,clear sky
106,Avarua,CK,2022-09-08 02:17:25,-21.2078,-159.775,77.05,78,75,13.8,light rain
