City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
211,Sinnamary,GF,78.69,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
212,Kendari,ID,83.08,overcast clouds,-3.945,122.4989,Hotel Wixel
213,Namatanai,PG,85.12,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
220,Lahaina,US,87.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
224,Sijunjung,ID,77.09,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
228,Porangatu,BR,79.09,few clouds,-13.4408,-49.1486,Wembley Park Hotel
230,Buala,SB,85.15,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
232,Malanville,BJ,73.35,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
234,Ambulu,ID,83.17,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
235,Hambantota,LK,79.79,overcast clouds,6.1241,81.1185,Bungalow 63
236,Nicoya,CR,76.03,overcast clouds,10.1483,-85.45200000000001,Las Cabinas Del Sueño
240,Kribi,CM,75.11,light rain,2.95,9.9167,La Grace Hôtel
241,Gairo,IT,71.17,clear sky,39.8497,9.5047,La Nuova Luna
242,Soyo,AO,73.53,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
243,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
244,Partizansk,RU,74.88,clear sky,43.1258,133.1339,"Urochishche Bol'shoy Lipovyy, Baza Otdykha"
246,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
249,Teknaf,BD,82.44,overcast clouds,20.8624,92.3058,Forestry Guesthouse
254,Puerto Leguizamo,CO,70.7,broken clouds,-0.1934,-74.7819,la casona de juancho
255,Bogande,BF,73.85,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
257,Ribeira Grande,PT,75.24,moderate rain,38.5167,-28.7,Quinta da Meia Eira
258,Moindou,NC,74.39,few clouds,-21.6924,165.67700000000002,Equi-lodge de Moindou
259,Abu Samrah,SY,72.88,clear sky,35.3029,37.1841,
